frame_index,timestamp_sec,rhino_id,min_person_distance_px,distance_to_road_px,risk_level
150,5.0,2,,283.5,LOW
150,5.0,3,,250.0,LOW
151,5.03,1,,304.5,LOW
151,5.03,2,,284.5,LOW
151,5.03,3,,252.0,LOW
152,5.07,1,,306.5,LOW
152,5.07,2,,286.5,LOW
152,5.07,3,,253.0,LOW
153,5.1,1,,307.5,LOW
153,5.1,2,,287.5,LOW
153,5.1,3,,254.0,LOW
154,5.13,1,,308.5,LOW
154,5.13,2,,288.5,LOW
154,5.13,3,,256.0,LOW
155,5.17,1,,309.5,LOW
155,5.17,2,,289.5,LOW
155,5.17,3,,257.0,LOW
156,5.2,1,,310.5,LOW
156,5.2,2,,289.5,LOW
156,5.2,3,,258.0,LOW
157,5.23,1,,310.5,LOW
157,5.23,2,,289.5,LOW
157,5.23,3,,259.0,LOW
158,5.27,1,,310.5,LOW
158,5.27,2,,289.5,LOW
158,5.27,3,,259.0,LOW
159,5.3,1,,310.5,LOW
159,5.3,2,,289.5,LOW
159,5.3,3,,259.0,LOW
160,5.33,1,,309.5,LOW
160,5.33,2,,287.5,LOW
160,5.33,3,,257.0,LOW
161,5.37,1,,307.5,LOW
161,5.37,2,,286.5,LOW
161,5.37,3,,256.0,LOW
162,5.4,1,,305.5,LOW
162,5.4,2,,284.5,LOW
162,5.4,3,,254.0,LOW
163,5.43,1,,303.5,LOW
163,5.43,2,,282.5,LOW
163,5.43,3,,252.0,LOW
164,5.47,1,,301.5,LOW
164,5.47,2,,279.5,LOW
164,5.47,3,,250.0,LOW
165,5.5,1,,299.5,LOW
165,5.5,2,,277.5,LOW
165,5.5,3,,248.0,LOW
166,5.53,1,,297.5,LOW
166,5.53,2,,275.5,LOW
166,5.53,3,,246.0,LOW
167,5.57,1,,295.5,LOW
167,5.57,2,,273.5,LOW
167,5.57,3,,244.0,LOW
168,5.6,1,,293.5,LOW
168,5.6,2,,271.5,LOW
168,5.6,3,,242.0,LOW
169,5.63,1,,291.5,LOW
169,5.63,2,,270.5,LOW
169,5.63,3,,242.0,LOW
170,5.67,1,,289.5,LOW
170,5.67,2,,269.5,LOW
170,5.67,3,,242.0,LOW
171,5.7,1,,287.5,LOW
171,5.7,2,,268.5,LOW
171,5.7,3,,242.0,LOW
172,5.73,1,,286.5,LOW
172,5.73,2,,267.5,LOW
172,5.73,3,,242.0,LOW
173,5.77,1,,284.5,LOW
173,5.77,2,,266.5,LOW
173,5.77,3,,242.0,LOW
174,5.8,1,,282.5,LOW
174,5.8,2,,264.5,LOW
174,5.8,3,,242.0,LOW
175,5.83,1,,280.5,LOW
175,5.83,2,,262.5,LOW
175,5.83,3,,241.0,LOW
176,5.87,1,,277.5,LOW
176,5.87,2,,259.5,LOW
176,5.87,3,,240.0,LOW
177,5.9,1,,274.5,LOW
177,5.9,2,,256.5,LOW
177,5.9,3,,239.0,LOW
178,5.93,1,,271.5,LOW
178,5.93,2,,252.5,LOW
178,5.93,3,,238.0,LOW
179,5.97,1,,268.5,LOW
179,5.97,2,,250.5,LOW
179,5.97,3,,236.0,LOW
180,6.0,1,,266.5,LOW
180,6.0,2,,247.5,LOW
180,6.0,3,,235.0,LOW
181,6.03,1,,264.5,LOW
181,6.03,2,,245.5,LOW
181,6.03,3,,234.0,LOW
182,6.07,1,,262.5,LOW
182,6.07,2,,243.5,LOW
182,6.07,3,,232.0,LOW
183,6.1,1,,260.5,LOW
183,6.1,2,,241.5,LOW
183,6.1,3,,231.0,LOW
184,6.13,1,,258.5,LOW
184,6.13,2,,239.5,LOW
184,6.13,3,,229.0,LOW
185,6.17,1,,256.5,LOW
185,6.17,2,,237.5,LOW
185,6.17,3,,228.0,LOW
186,6.2,1,,254.5,LOW
186,6.2,2,,235.5,LOW
186,6.2,3,,226.0,LOW
187,6.23,1,,252.5,LOW
187,6.23,2,,233.5,LOW
187,6.23,3,,224.0,LOW
188,6.27,1,,250.5,LOW
188,6.27,2,,231.5,LOW
188,6.27,3,,222.0,LOW
189,6.3,1,,249.5,LOW
189,6.3,2,,229.5,LOW
189,6.3,3,,220.0,LOW
190,6.33,1,,247.5,LOW
190,6.33,2,,228.5,LOW
190,6.33,3,,218.0,LOW
191,6.37,1,,246.5,LOW
191,6.37,2,,226.5,LOW
191,6.37,3,,216.0,LOW
192,6.4,1,,245.5,LOW
192,6.4,2,,224.5,LOW
192,6.4,3,,214.0,LOW
193,6.43,1,,243.5,LOW
193,6.43,2,,222.5,LOW
193,6.43,3,,212.0,LOW
194,6.47,1,,242.5,LOW
194,6.47,2,,220.5,LOW
194,6.47,3,,210.0,LOW
195,6.5,1,,240.5,LOW
195,6.5,2,,218.5,LOW
195,6.5,3,,208.0,LOW
196,6.53,1,,238.5,LOW
196,6.53,2,,215.5,LOW
196,6.53,3,,206.0,LOW
197,6.57,1,,236.5,LOW
197,6.57,2,,213.5,LOW
197,6.57,3,,203.0,LOW
198,6.6,1,,234.5,LOW
198,6.6,2,,210.5,LOW
198,6.6,3,,201.0,LOW
199,6.63,1,,231.5,LOW
199,6.63,2,,208.5,LOW
199,6.63,3,,198.0,LOW
200,6.67,1,,229.5,LOW
200,6.67,2,,204.5,LOW
200,6.67,3,,195.0,LOW
201,6.7,1,,227.5,LOW
201,6.7,2,,201.5,LOW
201,6.7,3,,192.0,LOW
202,6.73,1,,225.5,LOW
202,6.73,2,,199.5,LOW
202,6.73,3,,190.0,LOW
203,6.77,1,,223.5,LOW
203,6.77,2,,196.5,LOW
203,6.77,3,,187.0,LOW
204,6.8,1,,221.5,LOW
204,6.8,2,,193.5,LOW
204,6.8,3,,185.0,LOW
205,6.83,1,,219.5,LOW
205,6.83,2,,190.5,LOW
205,6.83,3,,182.0,LOW
206,6.87,1,,216.5,LOW
206,6.87,2,,187.5,LOW
206,6.87,3,,179.0,LOW
207,6.9,1,,214.5,LOW
207,6.9,2,,184.5,LOW
207,6.9,3,,177.0,LOW
208,6.93,1,,212.5,LOW
208,6.93,2,,181.5,LOW
208,6.93,3,,174.0,LOW
209,6.97,1,,210.5,LOW
209,6.97,2,,179.5,LOW
209,6.97,3,,172.0,LOW
210,7.0,1,,208.5,LOW
210,7.0,2,,177.5,LOW
210,7.0,3,,169.0,LOW
211,7.03,1,,206.5,LOW
211,7.03,2,,175.5,LOW
211,7.03,3,,166.0,LOW
212,7.07,1,,203.5,LOW
212,7.07,2,,173.5,LOW
212,7.07,3,,163.0,LOW
213,7.1,1,,201.5,LOW
213,7.1,2,,171.5,LOW
213,7.1,3,,161.0,LOW
214,7.13,1,,199.5,LOW
214,7.13,2,,169.5,LOW
214,7.13,3,,158.0,LOW
215,7.17,1,,197.5,LOW
215,7.17,2,,167.5,LOW
215,7.17,3,,155.0,LOW
216,7.2,1,,196.5,LOW
216,7.2,2,,165.5,LOW
216,7.2,3,,153.0,LOW
217,7.23,1,,195.5,LOW
217,7.23,2,,164.5,LOW
217,7.23,3,,151.0,LOW
218,7.27,1,,194.5,LOW
218,7.27,2,,162.5,LOW
218,7.27,3,,149.0,LOW
219,7.3,1,,193.5,LOW
219,7.3,2,,161.5,LOW
219,7.3,3,,148.0,LOW
220,7.33,1,,193.5,LOW
220,7.33,2,,160.5,LOW
220,7.33,3,,148.0,LOW
221,7.37,1,,193.5,LOW
221,7.37,2,,160.5,LOW
221,7.37,3,,148.0,LOW
222,7.4,1,,193.5,LOW
222,7.4,2,,160.5,LOW
222,7.4,3,,148.0,LOW
223,7.43,1,,193.5,LOW
223,7.43,2,,160.5,LOW
223,7.43,3,,149.0,LOW
224,7.47,1,,194.5,LOW
224,7.47,2,,161.5,LOW
224,7.47,3,,150.0,LOW
225,7.5,1,,195.5,LOW
225,7.5,2,,162.5,LOW
225,7.5,3,,151.0,LOW
226,7.53,1,,196.5,LOW
226,7.53,2,,163.5,LOW
226,7.53,3,,152.0,LOW
227,7.57,1,,197.5,LOW
227,7.57,2,,165.5,LOW
227,7.57,3,,153.0,LOW
228,7.6,1,,199.5,LOW
228,7.6,2,,166.5,LOW
228,7.6,3,,154.0,LOW
229,7.63,1,,200.5,LOW
229,7.63,2,,167.5,LOW
229,7.63,3,,155.0,LOW
229,7.63,4,,189.5,LOW
230,7.67,1,,201.5,LOW
230,7.67,2,,168.5,LOW
230,7.67,3,,155.0,LOW
